,id,alg,cell_type_maze_tu,cell_type_maze_s,cell_type_maze_T,cell_type_maze_c,sol_type_maze_tu,sol_type_maze_s,sol_type_maze_d,sol_type_maze_len
150,bee505c7-bb49-4897-809b-eb0e0322fc0d,problog,11,2,7,2,3,0,7,11
151,caa9f59f-a0b7-4330-aeab-d59a46c79512,problog,6,5,7,2,0,0,7,9
152,95a4eecd-5596-4171-a3c9-22d7f7651227,problog,9,6,6,2,5,0,4,9
153,06e76b0c-3c25-45a7-973f-f9c4aa2f8237,problog,5,7,9,1,0,1,6,9
154,0a8a2778-80f1-443d-92ae-6878bbd39fab,problog,7,7,9,1,2,3,3,9
155,ffb7ef27-41e0-4006-af46-477b436b6fee,problog,7,3,10,3,0,0,7,9
156,11eeca40-90cb-42d1-912f-4281c0318ba4,problog,6,6,8,1,3,4,2,9
157,70a39d68-4795-472a-bf2f-1b33c1a9d67b,problog,6,6,7,1,3,0,5,9
158,94b1d126-1010-4210-9246-08b65cf8d687,problog,7,7,6,1,3,1,5,9
159,f3fee56c-c703-4f3c-93a1-40ab76c1ca31,problog,7,4,8,2,2,2,4,9
160,7abeb05b-a554-489f-abef-70939fb07bf8,problog,6,3,10,2,3,1,6,11
161,4aae1c3c-0642-4dfb-b23f-4f354bcf7606,problog,3,5,7,3,0,1,6,9
162,f9e3450d-e569-4e59-ac2c-fa9aace661e4,problog,7,5,7,1,2,0,6,9
163,e7353171-3018-4319-b500-2fea8d03d603,problog,5,5,10,1,1,0,7,9
164,bb6b7a7b-82b5-42d3-9fdb-9ed018eca15f,problog,8,5,6,0,4,1,5,11
165,af3aab4a-5952-452a-bf72-4d2ba332162e,problog,8,2,7,3,1,0,7,9
166,cf09752b-eab1-410e-b69d-ba88a89a0ece,problog,5,2,8,2,1,0,7,9
167,55ece738-c3eb-41af-90ff-95aae23e9780,problog,4,6,9,1,2,1,5,9
168,1042dfda-5b31-42d4-b473-497f8f595d77,problog,7,4,10,2,2,1,5,9
169,26722f79-0633-45d3-b52f-7e4b5b025044,problog,5,6,5,2,1,3,3,9
170,ae48a5d8-e0b4-4fd1-a9e7-78faf91b6099,problog,4,3,11,0,3,2,3,9
171,c1b51fb1-7958-40be-b60e-5b2266e9446b,problog,7,2,6,4,3,0,4,9
172,e1749445-1bf2-4373-b326-c2ed9d04bb8d,problog,7,4,7,0,5,1,5,13
173,adad795d-1bf8-400e-af16-7b1e7255eef0,problog,7,3,7,1,3,1,5,11
174,2033a768-4b89-4db3-857e-68581808a048,problog,8,3,6,0,5,0,4,11
175,0b5257bf-0a57-4fdd-8220-fcf0a52e9724,problog,3,8,7,0,2,1,5,9
176,c04ca838-5289-4f91-97dc-c456cb5e5ccd,problog,8,2,9,3,2,0,7,9
177,a4ec544e-e4b6-4058-b149-05ed8ace7d22,problog,8,4,9,3,3,2,4,9
178,1c684b64-dc8e-4d27-a0e4-4588396bc1c5,problog,6,6,7,1,3,2,3,9
179,4b16075b-12a5-4287-9168-8b45a7837cf3,problog,5,3,9,1,3,1,5,11
180,51fc15ad-fca5-416c-b894-b97eb1affab5,problog,5,6,9,2,2,2,4,9
181,9ad19a46-8199-4302-a6f9-6c3852790cbd,problog,6,10,4,1,3,3,3,9
182,04ad2251-4ccd-4ccd-a342-8443ec6f9d59,problog,7,3,7,1,3,0,5,9
183,02f810e7-b6de-45dd-b685-f74e5fc92c2f,problog,6,3,8,4,0,0,7,9
184,d4f8d861-f43a-4028-9760-899c53d1ddae,problog,4,2,9,3,1,1,5,9
185,f3b87236-a128-4d4e-aaa4-03a6288760b7,problog,6,5,7,2,2,1,5,9
186,f1795341-8b8b-4c75-a9e8-d608ddeaa16b,problog,5,4,8,2,1,1,5,9
187,9325029b-34d1-4d34-aadf-ebbe696555f0,problog,7,2,11,0,2,1,5,9
188,cf308e85-88b9-4b50-9120-46d33beeb341,problog,7,1,9,3,2,0,6,9
189,d880af6c-7715-46ab-8d17-69cc354fe144,problog,5,2,9,2,1,0,6,9
190,a457e803-3ad0-4c18-929e-16e99fabf37c,problog,5,2,11,2,1,0,7,9
191,c6a30c75-2d24-4811-b6e3-f442a15b40d4,problog,8,5,9,0,1,3,4,9
192,6322e294-cd06-4744-9141-d60d1783606f,problog,9,6,6,0,5,1,5,11
193,698f7b54-838e-49cf-b40a-85558ed82ef5,problog,5,8,6,0,1,4,2,9
194,e58cc918-8053-4cff-bfd4-613b7b666a24,problog,7,3,9,3,2,1,5,9
195,c538be25-2810-4c70-ba10-e5fa8c817bdb,problog,6,5,8,2,2,0,6,9
196,2b075b92-31f0-44ec-90db-5e7d3cc6dbd0,problog,8,3,7,2,2,1,7,11
197,3d8b1eb4-2156-48ab-92ba-09c7bb9e5aed,problog,3,2,9,2,1,0,6,9
198,36975567-65b2-415f-b3e8-07401c5cdc0a,problog,3,8,6,2,1,2,5,9
199,6473c47e-e378-4306-b715-3268de7db008,problog,8,1,7,4,2,1,5,9
200,f66ef73d-a248-4bf7-8fd1-8e6d13fa001f,problog,3,7,7,1,2,1,5,9
201,04258742-45b4-4ac2-98f1-9ae6c5d36a4c,problog,5,4,8,2,1,0,6,9
202,34cd89e0-f2cf-4f86-a0ee-2429327f6b74,problog,6,5,8,2,1,1,6,9
203,0f6965e8-8c4b-4347-bf1c-552351209e23,problog,6,6,6,1,3,3,3,9
204,e51cc96f-7925-4b5d-9e28-402442b1adf3,problog,6,6,11,1,2,0,6,9
205,beb850b3-7ba8-47b2-98cb-4dca4b57ff1a,problog,5,5,7,3,1,0,6,9
206,a61fc1de-99e7-425e-8125-29ad5e0eaa49,problog,4,5,9,0,2,0,6,9
207,f2cd3977-4133-4f56-bd70-b7607c43c395,problog,6,6,9,1,3,1,5,9
208,212e1b2a-b40a-42bb-84a2-902b1be3f0c8,problog,5,2,10,4,2,0,6,9
209,a39098c0-a765-460d-b586-005e2735176c,problog,6,3,10,0,2,0,6,9
210,1653ce50-0958-444e-933c-ffee46cef3e8,problog,9,0,8,4,3,0,6,9
211,73406133-8434-4d2b-a43d-88778d079692,problog,7,5,7,1,2,0,6,9
212,60fc6b04-ba1d-479c-9825-55baa0da60b1,problog,3,2,11,2,0,0,7,9
213,a49ec819-5084-4c4e-96cf-f33feaadaecf,problog,4,5,10,0,4,0,5,9
214,d358399c-7cac-4a35-825e-6cd1869a0b3e,problog,8,5,8,0,3,0,5,9
215,af0cd3c9-0498-4aad-a69e-744acc81cf49,problog,7,9,4,1,2,2,4,9
216,832e6e82-8332-4d92-8f2b-da6b95f07587,problog,4,6,9,1,0,1,6,9
217,10c2a96c-d831-4b77-a642-009f75936f8a,problog,6,4,9,1,1,0,6,9
218,4df42757-57a9-4fb5-a98c-dc6466975531,problog,5,8,6,0,3,4,2,9
219,bc2650aa-e0cb-4609-8ed2-f7d8d0a50bd2,problog,6,3,10,0,3,1,4,9
