,id,alg,cell_type_maze_tu,cell_type_maze_s,cell_type_maze_T,cell_type_maze_c,sol_type_maze_tu,sol_type_maze_s,sol_type_maze_d,sol_type_maze_len
153,c0569caf-3027-4bac-9697-d00dd6dcb717,AldousBroder,5,10,0,0,2,6,0,13
154,fc02de82-df53-4151-bf8b-9f7561296197,AldousBroder,4,9,1,0,1,5,1,13
155,cc4476e6-d014-415a-bf63-f00e5112e923,AldousBroder,4,11,0,0,4,11,0,21
156,f5f8e170-ee8c-4c62-a9dc-e7cc307f7870,AldousBroder,4,11,0,0,2,6,0,13
157,1b2ec693-aaae-4d11-bb1e-3a88f6bd5079,AldousBroder,4,9,1,0,3,4,1,13
158,addbada0-1b38-4c3a-9564-86ada7ca313c,AldousBroder,4,9,1,0,2,5,1,13
159,75bec979-1867-42df-b43a-381838da186d,AldousBroder,4,9,1,0,3,4,1,13
160,5601bf61-c085-4e94-b84f-9e98371a2c3a,AldousBroder,4,11,0,0,3,6,0,13
161,48db735a-e2e6-42b8-8c01-535d56fefb87,AldousBroder,4,11,0,0,2,6,0,13
162,a820cb76-90f6-402d-9b30-d5ccfd4ab9ac,AldousBroder,5,10,0,0,2,6,0,13
163,af084787-9fdb-49a9-894f-2cf6a025715a,AldousBroder,4,11,0,0,4,5,0,13
164,67ae393a-2bb2-4b2a-935a-e5c74a9f5d2c,AldousBroder,5,10,0,0,2,6,0,13
165,e7f74310-7da5-47ac-a4a3-65ac4410eb48,AldousBroder,5,10,0,0,2,6,0,13
166,32a8b478-aec2-4605-81fc-bad858076c07,AldousBroder,3,8,2,0,2,4,2,13
167,e12d1781-44b0-4498-aa85-48cca39eeb29,AldousBroder,5,10,0,0,2,6,0,13
168,e2ce12df-616a-4699-8323-f880730b6cea,AldousBroder,5,10,0,0,2,6,0,13
169,7133c43d-9a32-4524-b37d-0434675216db,AldousBroder,4,9,1,0,1,5,1,13
170,2275ecbd-2c97-4808-a3d1-334ce0c1e7ab,AldousBroder,5,10,0,0,2,6,0,13
171,f3a3522f-ca70-4147-9f3c-ada103296cc3,AldousBroder,3,10,1,0,3,6,0,13
172,697ad8ae-f020-4083-bfd0-fb48749fce5f,AldousBroder,4,9,1,0,3,4,1,13
173,95f1344c-d14e-4cf7-8085-946f8033fe3b,AldousBroder,4,9,1,0,2,5,1,13
174,ed6e66c1-84b9-498e-8292-e4bed75180b7,AldousBroder,5,10,0,0,2,6,0,13
175,09d5a7ee-4a3b-4173-b566-93d331d3522d,AldousBroder,5,10,0,0,5,7,0,17
176,1c75549b-c0c6-49ee-b12a-3fa1b0fa2edf,AldousBroder,5,10,0,0,2,6,0,13
177,4f2efea9-fd43-419a-8cf3-050231685b1c,AldousBroder,4,11,0,0,3,6,0,13
178,e35da4bb-df59-49de-9ce3-0af958bc717d,AldousBroder,5,10,0,0,5,7,0,17
179,fcd578d5-8373-4900-8bca-9e9e553dba64,AldousBroder,4,9,1,0,3,4,1,13
180,90972465-9448-42b1-865c-e1160e7c163b,AldousBroder,4,11,0,0,3,6,0,13
181,93343679-3cbb-45af-b350-454dd48eff98,AldousBroder,3,10,1,0,1,5,1,13
182,44d6c7d6-95c8-44dd-98b6-7efe34eb53e4,AldousBroder,4,11,0,0,2,6,0,13
183,01013d1a-22ae-447d-9569-765eb55a3ec3,AldousBroder,4,9,1,0,4,4,1,13
184,f6cb8d45-4ddf-4fba-9cf9-5ea147b3d1e2,AldousBroder,4,11,0,0,2,6,0,13
185,7be8f199-133c-48b5-ae4f-48c07590b260,AldousBroder,5,10,0,0,5,7,0,17
186,d68a83fd-e6e0-4de8-8007-065ce351665f,AldousBroder,3,8,2,0,1,4,2,13
187,79e8e9da-db5d-41ea-9edd-3bd55b36c068,AldousBroder,5,10,0,0,5,7,0,17
188,7cb63be8-8936-4241-8195-7100d62d9f0c,AldousBroder,4,11,0,0,4,11,0,21
189,57f9a96d-c399-4fdc-8f2f-a0864635b41f,AldousBroder,4,9,1,0,4,4,1,13
190,d2c3e426-12d0-4cf0-8a37-a5df2a3d93bd,AldousBroder,4,11,0,0,3,6,0,13
191,25eba170-825f-47e1-b1c7-a87ec9967870,AldousBroder,3,8,2,0,2,4,2,13
192,385f75d9-25b2-4132-aa53-e3d5f050452b,AldousBroder,3,10,1,0,3,6,0,13
193,6de030dc-7572-4346-a973-7d796644d8a9,AldousBroder,3,10,1,0,2,5,1,13
194,994fb2cd-43fb-4c3c-a840-199bbf6c7c74,AldousBroder,4,11,0,0,4,11,0,21
195,86fe8cd6-d342-400d-a42e-b5b06b276908,AldousBroder,2,11,1,0,2,5,1,13
196,a1c75220-a93d-4237-ae83-ca6a568898ad,AldousBroder,4,11,0,0,3,6,0,13
197,db99d946-e811-4fc5-b69e-4be565d0b57c,AldousBroder,4,9,1,0,3,7,1,17
198,d3f773e9-1b43-4d09-adab-ea58012b3aad,AldousBroder,5,10,0,0,2,6,0,13
199,53999605-43d7-4998-9e3f-6b9f5ff0afa6,AldousBroder,4,11,0,0,2,6,0,13
