,id,alg,hash,cell_type_maze_tu,cell_type_maze_s,cell_type_maze_T,cell_type_maze_c,sol_type_maze_tu,sol_type_maze_s,sol_type_maze_d,sol_type_maze_len
1660,b7dbae87-10d9-4df2-935d-67c7669ef8b1,asp,9dfa89671a74b1b84ad42e10f70efc2f,8,11,2,0,7,2,2,11
1661,63c63451-2932-4f4b-8ddb-27c3f5b01b68,asp,b631b49d7a54797424a07e275e2cbd8f,2,13,5,0,2,3,3,9
1662,3f98d170-abd3-4e3b-9447-8835179ec20b,asp,3a586b123048a418ba41022ecdcc9624,6,5,4,2,1,1,5,9
1663,9c86357b-b99d-4741-81c9-a6e42bce18f3,asp,356239607c9cf72cd372b61574e655d3,7,7,4,1,3,2,3,9
1664,38206cca-99cb-4387-ab09-3063bbc26b57,asp,f39273deb1942344557d4ba7e77d803d,5,8,6,0,2,3,4,9
1665,1c2f1084-29bc-4b13-bafa-296a8cd5799a,asp,946e0480e496830cba940063a18aea50,4,9,6,0,2,2,4,9
1666,ac0e04cd-ff0e-4453-b447-d1fc0e0b80a6,asp,a33713073b6438eafc4c75a36993971a,4,11,5,0,3,6,5,15
1667,fd01b8ea-911c-405c-8253-b8e334fab64e,asp,e37502dc26dfe9ab56ecae4edfa0d6e0,2,15,3,0,2,3,3,9
1668,a4473ed1-50d7-4708-a62b-0d29ee08f337,asp,17cc6af624a0576b1453ecf5015a419e,2,13,5,0,2,3,3,9
1669,78747b09-0ee3-4f76-a667-f996451f3644,asp,9fc1aa9adcaf60649e522f536adcb99e,4,6,6,1,2,3,4,11
1670,2f0597e4-9580-4a0e-af3f-a58dd03e27a5,asp,f2552984f7b69a7c43fc82c1b2833497,4,13,4,0,4,3,2,9
1671,5d763443-a668-4a27-8dc2-2c412405c49d,asp,c66a4f3ac6dfe4c933303defa9e92f37,7,7,4,1,4,3,1,9
1672,5aaa443c-9e6a-404d-98f9-c350c9106d5d,asp,17cc6af624a0576b1453ecf5015a419e,2,13,5,0,2,3,3,9
